"Colony","Wave","Study","Yard","Treatment","Inoculated","Alive","SSMites","AWMites","CCMites","ABees","CBrood","HStores"
"TO125",2,"TO","Amy","HV","No",TRUE,9,NA,NA,NA,NA,NA
"TO125",3,"TO","Amy","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO125",4,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO125",5,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO125",6,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO125",7,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO125",8,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO125",9,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO125",10,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO125",11,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO125",12,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO125",13,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO125",14,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO125",15,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO125",16,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO125",17,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO125",18,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO125",19,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO125",20,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO125",21,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO125",22,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO125",23,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO125",24,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO126",1,"TO","Amy","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO126",2,"TO","Amy","HV","No",TRUE,4,NA,NA,NA,NA,NA
"TO126",3,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO126",4,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO126",5,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
